22;Archivero;9;0;1;ACTIVO
21;Antropólogo;8;0;1;ACTIVO
20;Anestesiólogo;7;0;1;ACTIVO
19;Anatomista;6;0;1;ACTIVO
18;Alergólogo;5;0;1;ACTIVO
17;Agrónomo;4;0;1;ACTIVO
16;Administrador;3;0;1;ACTIVO
15;Académico;2;0;1;ACTIVO
25;Asesor;12;0;1;ACTIVO
26;Asistente;13;0;1;ACTIVO
36;Bibliotecario;23;0;1;ACTIVO
35;Bibliógrafo;22;0;1;ACTIVO
34;Bacteriólogo;21;0;1;ACTIVO
33;Auxiliar;20;0;1;ACTIVO
32;Autora;19;0;1;ACTIVO
31;Autor;18;0;1;ACTIVO
30;Atleta;17;0;1;ACTIVO
29;Astrónomo;16;0;1;ACTIVO
28;Astrólogo;15;0;1;ACTIVO
27;Astrofísico;14;0;1;ACTIVO
14;Abogado;1;0;1;ACTIVO
63;Dirigente;50;0;1;ACTIVO
112;Homeópata;99;0;1;ACTIVO
99;Geoquímica;86;0;1;ACTIVO
98;Geómetra;85;0;1;ACTIVO
97;Geólogo;84;0;1;ACTIVO
96;Geógrafo;83;0;1;ACTIVO
95;Geofísico;82;0;1;ACTIVO
94;Geobotánica;81;0;1;ACTIVO
93;Genetista;80;0;1;ACTIVO
92;Funcionaria;79;0;1;ACTIVO
91;Fotógrafo;78;0;1;ACTIVO
90;Forense;77;0;1;ACTIVO
100;Gerente;87;0;1;ACTIVO
101;Geriatra;88;0;1;ACTIVO
111;Historiador;98;0;1;ACTIVO
110;Hidrógrafo;97;0;1;ACTIVO
109;Hepatóloga;96;0;1;ACTIVO
108;Hematólogo;95;0;1;ACTIVO
107;Gramático;94;0;1;ACTIVO
106;Grafólogo;93;0;1;ACTIVO
105;Graduado social;92;0;1;ACTIVO
104;Grabador;91;0;1;ACTIVO
103;Gestor;90;0;1;ACTIVO
102;Gerontólogo;89;0;1;ACTIVO
89;Fonólogo;76;0;1;ACTIVO
88;Fisioterapeuta;75;0;1;ACTIVO
87;Fisiólogo;74;0;1;ACTIVO
74;Especialista;61;0;1;ACTIVO
73;Epidemiólogo;60;0;1;ACTIVO
72;Entomólogo;59;0;1;ACTIVO
71;Enólogo;58;0;1;ACTIVO
70;Enfermero;57;0;1;ACTIVO
69;Endocrinólogo;56;0;1;ACTIVO
68;Egiptólogo;55;0;1;ACTIVO
67;Educador;54;0;1;ACTIVO
66;Economista;53;0;1;ACTIVO
65;Ecólogo;52;0;1;ACTIVO
75;Estadista;62;0;1;ACTIVO
76;Estadístico;63;0;1;ACTIVO
86;Físico;73;0;1;ACTIVO
85;Fiscal;72;0;1;ACTIVO
84;Filósofo;71;0;1;ACTIVO
83;Farmacólogo;70;0;1;ACTIVO
82;Farmacéutico;69;0;1;ACTIVO
81;Examinador;68;0;1;ACTIVO
80;Etólogo;67;0;1;ACTIVO
79;Etnólogo;66;0;1;ACTIVO
78;Etnógrafo;65;0;1;ACTIVO
77;Etimólogo;64;0;1;ACTIVO
64;Doctor;51;0;1;ACTIVO
